,Date,Module,Hand,Time,Stroke,Key,Speed
0,2020-12-02,deck-the-halls_solo,right,1606951027.1107004,177,64,0
1,2020-12-02,deck-the-halls_solo,right,1606951027.7457004,144,69,63
2,2020-12-02,deck-the-halls_solo,right,1606951028.3247004,128,69,64
3,2020-12-02,deck-the-halls_solo,right,1606951028.3377004,144,67,37
4,2020-12-02,deck-the-halls_solo,right,1606951028.5847003,144,66,44
5,2020-12-02,deck-the-halls_solo,right,1606951028.6267004,128,67,64
6,2020-12-02,deck-the-halls_solo,right,1606951028.9937005,144,64,55
7,2020-12-02,deck-the-halls_solo,right,1606951029.0247004,128,66,64
8,2020-12-02,deck-the-halls_solo,right,1606951029.4467003,128,64,64
9,2020-12-02,deck-the-halls_solo,right,1606951029.4467003,144,62,48
10,2020-12-02,deck-the-halls_solo,right,1606951029.9147003,128,62,64
11,2020-12-02,deck-the-halls_solo,right,1606951029.9147003,144,64,53
12,2020-12-02,deck-the-halls_solo,right,1606951030.3527002,128,64,64
13,2020-12-02,deck-the-halls_solo,right,1606951030.3597002,144,66,39
14,2020-12-02,deck-the-halls_solo,right,1606951030.8187003,144,62,47
15,2020-12-02,deck-the-halls_solo,right,1606951030.8347003,128,66,64
16,2020-12-02,deck-the-halls_solo,right,1606951031.2717004,144,64,51
17,2020-12-02,deck-the-halls_solo,right,1606951031.2867005,128,62,64
18,2020-12-02,deck-the-halls_solo,right,1606951031.4177005,144,66,39
19,2020-12-02,deck-the-halls_solo,right,1606951031.5157006,128,64,64
20,2020-12-02,deck-the-halls_solo,right,1606951031.7227006,144,67,54
21,2020-12-02,deck-the-halls_solo,right,1606951031.7237005,128,66,64
22,2020-12-02,deck-the-halls_solo,right,1606951032.0087006,128,67,64
23,2020-12-02,deck-the-halls_solo,right,1606951032.0177007,144,64,50
24,2020-12-02,deck-the-halls_solo,right,1606951032.2667007,144,66,44
25,2020-12-02,deck-the-halls_solo,right,1606951032.2767007,128,64,64
26,2020-12-02,deck-the-halls_solo,right,1606951032.9387007,144,64,47
27,2020-12-02,deck-the-halls_solo,right,1606951032.9997008,128,66,64
28,2020-12-02,deck-the-halls_solo,right,1606951033.3127007,144,62,49
29,2020-12-02,deck-the-halls_solo,right,1606951033.3127007,128,64,64
30,2020-12-02,deck-the-halls_solo,right,1606951033.7987008,144,61,39
31,2020-12-02,deck-the-halls_solo,right,1606951033.8047009,128,62,64
32,2020-12-02,deck-the-halls_solo,right,1606951034.3377008,144,62,51
33,2020-12-02,deck-the-halls_solo,right,1606951034.349701,128,61,64
34,2020-12-02,deck-the-halls_solo,right,1606951035.579701,128,62,64
35,2020-12-02,deck-the-halls_solo,right,1606951035.9037008,144,69,69
36,2020-12-02,deck-the-halls_solo,right,1606951036.9537008,128,69,64
37,2020-12-02,deck-the-halls_solo,right,1606951037.0067008,144,67,44
38,2020-12-02,deck-the-halls_solo,right,1606951037.2787008,144,66,45
39,2020-12-02,deck-the-halls_solo,right,1606951037.356701,128,67,64
40,2020-12-02,deck-the-halls_solo,right,1606951037.829701,144,64,48
41,2020-12-02,deck-the-halls_solo,right,1606951037.859701,128,66,64
42,2020-12-02,deck-the-halls_solo,right,1606951038.365701,128,64,64
43,2020-12-02,deck-the-halls_solo,right,1606951038.381701,144,62,41
44,2020-12-02,deck-the-halls_solo,right,1606951038.890701,144,64,46
45,2020-12-02,deck-the-halls_solo,right,1606951038.906701,128,62,64
46,2020-12-02,deck-the-halls_solo,right,1606951039.437701,144,66,49
47,2020-12-02,deck-the-halls_solo,right,1606951039.441701,128,64,64
48,2020-12-02,deck-the-halls_solo,right,1606951040.174701,128,66,64
49,2020-12-02,deck-the-halls_solo,right,1606951040.187701,144,62,37
50,2020-12-02,deck-the-halls_solo,right,1606951041.038701,144,64,54
51,2020-12-02,deck-the-halls_solo,right,1606951041.068701,128,62,64
52,2020-12-02,deck-the-halls_solo,right,1606951041.245701,128,64,64
53,2020-12-02,deck-the-halls_solo,right,1606951041.248701,144,66,38
54,2020-12-02,deck-the-halls_solo,right,1606951041.539701,144,67,43
55,2020-12-02,deck-the-halls_solo,right,1606951041.550701,128,66,64
56,2020-12-02,deck-the-halls_solo,right,1606951041.7947009,128,67,64
57,2020-12-02,deck-the-halls_solo,right,1606951041.8307009,144,64,44
58,2020-12-02,deck-the-halls_solo,right,1606951042.122701,144,66,44
59,2020-12-02,deck-the-halls_solo,right,1606951042.1307008,128,64,64
60,2020-12-02,deck-the-halls_solo,right,1606951042.9787009,144,64,49
61,2020-12-02,deck-the-halls_solo,right,1606951043.006701,128,66,64
62,2020-12-02,deck-the-halls_solo,right,1606951043.313701,128,64,64
63,2020-12-02,deck-the-halls_solo,right,1606951043.3217008,144,62,45
64,2020-12-02,deck-the-halls_solo,right,1606951043.8587008,144,61,43
65,2020-12-02,deck-the-halls_solo,right,1606951043.8717008,128,62,64
66,2020-12-02,deck-the-halls_solo,right,1606951044.4737008,144,62,48
67,2020-12-02,deck-the-halls_solo,right,1606951044.4887009,128,61,64
68,2020-12-02,deck-the-halls_solo,right,1606951046.2337008,128,62,64
69,2020-12-02,deck-the-halls_solo,right,1606951047.9507008,144,64,64
70,2020-12-02,deck-the-halls_solo,right,1606951048.9557009,144,66,50
