,Date,Module,Hand,Time,Stroke,Key,Speed
0,2020-11-30,deck-the-halls_withemily,right,1606781415.0518107,177,64,0
1,2020-11-30,deck-the-halls_withemily,right,1606781418.7278109,144,69,69
2,2020-11-30,deck-the-halls_withemily,right,1606781419.4858108,144,67,72
3,2020-11-30,deck-the-halls_withemily,right,1606781419.5238109,128,69,64
4,2020-11-30,deck-the-halls_withemily,right,1606781419.8368108,144,66,58
5,2020-11-30,deck-the-halls_withemily,right,1606781419.8898108,128,67,64
6,2020-11-30,deck-the-halls_withemily,right,1606781420.4688108,144,64,70
7,2020-11-30,deck-the-halls_withemily,right,1606781420.4778109,128,66,64
8,2020-11-30,deck-the-halls_withemily,right,1606781421.0978107,144,62,65
9,2020-11-30,deck-the-halls_withemily,right,1606781421.1158106,128,64,64
10,2020-11-30,deck-the-halls_withemily,right,1606781421.7438107,144,64,69
11,2020-11-30,deck-the-halls_withemily,right,1606781421.7838106,128,62,64
12,2020-11-30,deck-the-halls_withemily,right,1606781422.3548107,144,66,59
13,2020-11-30,deck-the-halls_withemily,right,1606781422.3828108,128,64,64
14,2020-11-30,deck-the-halls_withemily,right,1606781422.9978108,144,64,64
15,2020-11-30,deck-the-halls_withemily,right,1606781423.012811,128,66,64
16,2020-11-30,deck-the-halls_withemily,right,1606781423.813811,144,62,51
17,2020-11-30,deck-the-halls_withemily,right,1606781423.8918111,128,64,64
18,2020-11-30,deck-the-halls_withemily,right,1606781424.441811,128,62,64
19,2020-11-30,deck-the-halls_withemily,right,1606781424.534811,144,64,47
20,2020-11-30,deck-the-halls_withemily,right,1606781424.649811,128,64,64
21,2020-11-30,deck-the-halls_withemily,right,1606781424.684811,144,66,57
22,2020-11-30,deck-the-halls_withemily,right,1606781424.9398112,128,66,64
23,2020-11-30,deck-the-halls_withemily,right,1606781425.0248113,144,67,53
24,2020-11-30,deck-the-halls_withemily,right,1606781425.1668112,128,67,64
25,2020-11-30,deck-the-halls_withemily,right,1606781425.1988113,144,64,26
26,2020-11-30,deck-the-halls_withemily,right,1606781425.2008114,144,65,27
